Name/Type|Responsible Department|Permit/Fee Name and Description|Statutory Authority |Fees As of Dec. 31, 2012|"Fees As of
June 30, 2011"|Fees As of April 1, 2012|Sec. 1-13 Increase Applies?|Sec. 1-14 Admin Fee Applies?|Increase Date|"(6)
Dept. Assignment: CATEGORY 
1 Permit
2 License 
3 Inspection
4 Plan Review
5 Support/Service
6 Other"|"(7)
Dept. Assignment
CRITERIA
1 Escalator/Ordinance
2 Contract 
3 State Law
4 Mkt. Driven
5 Other Escalator
6 Other"|"DECIMAL NOTES 
for PWE"|Fee As Jan 1, 2013|CPI increase 1.024214%in format #.####|Variance|% change|1.024214|PWE SEQUENCE Request|NOTE|Sequence Key|Change
Animal Control Fees|Administration and Regulatory Affairs|Impoundment Fee - Animals Other than Dogs and Cats and Neutered Dogs and Cats (3rd Offense)|06-137(a)(1)a3|80|80||Y||40544|6|6||80|80|0|0|||||
Animal Control Fees|Administration and Regulatory Affairs|Impoundment Fee - Unneutered (1st Offense)|06-137(a)(1)b1|60|60||Y||40544|6|6||60|60|0|0|||||
Animal Control Fees|Administration and Regulatory Affairs|Impoundment Fee - Unneutered (2nd Offense)|06-137(a)(1)b2|85|85||Y||40544|6|6||85|85|0|0|||||
Animal Control Fees|Administration and Regulatory Affairs|Impoundment Fee - Unneutered (3rd Offense)|06-137(a)(1)b3|110|110||Y||40544|6|6||110|110|0|0|||||
Animals|Administration and Regulatory Affairs|Goat pen examination|06-11|10|10||Y||40544|6|6||10|10|0|0|||||
Animals|Administration and Regulatory Affairs|Grandfathered wild animal special permit inspection fee|06-57|TBD|TBD||Y||40544|6|6||TBD|TBD|0|0|||||
Animals|Administration and Regulatory Affairs|Keeping wild animals temporarily in city -  11 or more|06-55(c)|300|300||Y||40544|6|6||300|300|0|0|||||
Animals|Administration and Regulatory Affairs|Keeping wild animals temporarily in city -  5 or fewer|06-55(c)|100|100||Y||40544|6|6||100|100|0|0|||||
Animals|Administration and Regulatory Affairs|Keeping wild animals temporarily in city -  6-10|06-55(c)|200|200||Y||40544|6|6||200|200|0|0|||||
Animals|Administration and Regulatory Affairs|Wild animals, daily boarding, per animal, MAXIMUM|06-56(b)|75|75||Y||40544|6|6||75|75|0|0|||||
Animals|Administration and Regulatory Affairs|Wild animals, daily boarding, per animal, MINIMUM|06-56(b)|5|5||Y||40544|6|6||5|5|0|0|||||
Animals|Administration and Regulatory Affairs|Wild animals, impoundment, per animal, MAXIMUM|06-56(b)|250|250||Y||40544|6|6||250|250|0|0|||||
Animals|Administration and Regulatory Affairs|Wild animals, impoundment, per animal, MINIMUM|06-56(b)|50|50||Y||40544|6|6||50|50|0|0|||||
Boot Fees|Administration and Regulatory Affairs|Towing/storage and related fees|26-265(3)|Actual Cost|Actual Cost||N|N||6|6||Actual Cost|Actual Cost|0|0|||||
Boot Fees|Administration and Regulatory Affairs|Administrative Fee|26-265(1)|154.84|150||Y|||6|1||158.58|0.0154|3.74|0.024153965|||||
Boot Fees|Administration and Regulatory Affairs|Boot Fee|26-265(2)|154.84|150||Y|N||6|1||158.58|158.5892|3.74|0.024153965|||||
Burglar Alarm Permit|Administration and Regulatory Affairs|Residential Burglar w/Panic Alarm|11-62(a)|50|50||N||N/A|1|3||50|50|0|0|||||
Burglar Alarm Permit|Administration and Regulatory Affairs|Non Residential Burglar|11-62(b)|103.23|100||Y||40544|1|1||105.72|105.7296|2.49|0.024120895|||||
Burglar Alarm Permit|Administration and Regulatory Affairs|Non Residential Panic Alarm|11-62(b)|103.23|100||Y||40544|1|1||105.72|105.7296|2.49|0.024120895|||||
Burglar Alarm Permit|Administration and Regulatory Affairs|Residential Burglar Alarm Permit|11-62 (a)|36.13|35||Y|||1|1||37|37.0048|0.87|0.024079712|||||
Certain traffic control duties Permit|Administration and Regulatory Affairs|Traffic control permit, initial|45-453(b)|100|100|||||1|6||100|100|0|0|||||
Charter Bus Permits|Administration and Regulatory Affairs|Annual Permit - Installments|46-211(a)|258.07|250||Y||40544|1|1||264.32|264.3189|6.25|0.024218235|||||
Charter Bus Permits|Administration and Regulatory Affairs|Annual Permit (per vehicle)|46-211(a)|516.15|500||Y||40544|1|1||528.64|528.648|12.49|0.024198392|||||
Charter Bus Permits|Administration and Regulatory Affairs|Prorated fee for less than one year (per month)|46-211(a)|51.61|50||Y||40544|1|1||52.85|52.8596|1.24|0.024026351|||||
Charter Bus Permits|Administration and Regulatory Affairs|Replacement Fee|46-211(a)|No charge|No charge||Y||40544|1|1||No charge|#VALUE!|#VALUE!|#VALUE!|||||
Charter Bus Permits|Administration and Regulatory Affairs|Scheduled Ground Transp. Fee 10-12 Pass.|09-58(c)|206.46|200||Y||40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Charter Bus Permits|Administration and Regulatory Affairs|Scheduled Ground Transp. Fee 13-30|09-58(c)|206.46|200||Y||40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Charter Bus Permits|Administration and Regulatory Affairs|Scheduled Ground Transp. Fee 31 or more|09-58(c)|206.46|200||Y||40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Charter Bus Permits|Administration and Regulatory Affairs|Temporary Permit (30 day max per vehicle)|46-218|103.23|100||Y||40544|1|1||105.72|105.7296|2.49|0.024120895|||||
Coin Operated Machine Decal|Administration and Regulatory Affairs|Occupations tax for coin operated machines|44-83(b)|15|15|||||6|3||15|15|0|0|||||
Contract Parking Rev. |Administration and Regulatory Affairs|Bagged Meters and Contracts|26-182(b)(1)|15.48|15||Y||40544|1|1||15.85|15.8548|0.37|0.023901809|||||
Dance License|Administration and Regulatory Affairs|Dance Halls Class A (<2days/wk)|05-77(a)(2)|283.88|275||Y||40544|2|1||290.75|290.7538|6.87|0.024200366|||||
Dance License|Administration and Regulatory Affairs|Dance Halls Class A (dance clubs or cabaret)|05-77(a)(1)|774.22|750||Y||40544|2|1||792.96|792.9669|18.74|0.024205006|||||
Dance License|Administration and Regulatory Affairs|Dance Halls Class B dancing schools|05-77(a)(3)|10.32|10||Y||40544|2|1||10.56|10.5698|0.24|0.023255814|||||
Dance License|Administration and Regulatory Affairs|Dance Halls Class B rented for public/private dances|05-77(a)(4)|103.23|100||Y||40544|2|1||105.72|105.7296|2.49|0.024120895|||||
Dance License|Administration and Regulatory Affairs|Dance Halls Class C - Teenage Dance Halls - More than 3 nights per week|05-77(a)(4)(5)|123.87|120||Y||40544|2|1||126.86|126.8693|2.99|0.024138209|||||
Dance License|Administration and Regulatory Affairs|Dance Halls Class C - Teenage Dance Halls -Not more than 3 nights per week|05-77(a)(4)(6)|61.93|60||Y||40544|2|1||63.42|63.4295|1.49|0.024059422|||||
False Alarm Penalty|Administration and Regulatory Affairs|Burglar Alarm After 3 False Alarms|11-68(a)|50|50||N||N/A|6|3||50|50|0|0|||||
False Alarm Penalty|Administration and Regulatory Affairs|Burglar Alarm After 4 False Alarms|11-68(a)|50|50||N||N/A|6|3||50|50|0|0|||||
False Alarm Penalty|Administration and Regulatory Affairs|Burglar Alarm After 5 False Alarms|11-68(a)|75|75||N||N/A|6|3||75|75|0|0|||||
False Alarm Penalty|Administration and Regulatory Affairs|Burglar Alarm After 6 False Alarms|11-68(a)|75|75||N||N/A|6|3||75|75|0|0|||||
False Alarm Penalty|Administration and Regulatory Affairs|Burglar Alarm After 7 False Alarms|11-68(a)|100|100||N||N/A|6|3||100|100|0|0|||||
False Alarm Penalty|Administration and Regulatory Affairs|False alarm response collection fee|11-68(l)|Varies|Varies||N||N/A|6|6||Varies|Varies|0|0|||||
False Alarm Penalty|Administration and Regulatory Affairs|Non-Permitted Alarm System Non-Residential Panic or Burglar|11-68(d)(4)|433.56|420||Y||40544|6|1||444.05|444.0582|10.49|0.024195036|||||
False Alarm Penalty|Administration and Regulatory Affairs|Non-permitted Non-residential Burglar Alarm System|11-68(d)(2)|206.46|200||Y||40544|6|1||211.45|211.4592|4.99|0.024169331|||||
False Alarm Penalty|Administration and Regulatory Affairs|Non-permitted Residential Burglar Alarm System|11-68(d)(1)|103.23|100||Y||40544|6|1||105.72|105.7296|2.49|0.024120895|||||
False Alarm Penalty|Administration and Regulatory Affairs|Non-Residential Panic (After 1 Free)|11-68(c) |247.75|240||Y||40544|6|1||253.74|253.749|5.99|0.024177598|||||
False Alarm Penalty|Administration and Regulatory Affairs|Non-Residential Panic (After 2 False Alarms)|11-68(c) |495.5|480||Y||40544|6|1||507.49|507.498|11.99|0.02419778|||||
False Alarm Penalty|Administration and Regulatory Affairs|Non-Residential Panic (After 3 False Alarms)|11-68(c) |619.38|600||Y||40544|6|1||634.37|634.3776|14.99|0.024201621|||||
False Alarm Penalty|Administration and Regulatory Affairs|Residential Non-Permitted Panic|11-68(d)(3)|272.52|264||Y||40544|6|1||279.11|279.1187|6.59|0.024181711|||||
False Alarm Penalty|Administration and Regulatory Affairs|Residential Panic After 1 False Alarm|11-68(b)|123.87|120||Y||40544|6|1||126.86|126.8693|2.99|0.024138209|||||
False Alarm Penalty|Administration and Regulatory Affairs|Residential Panic After 2 Alarms|11-68(b)|247.75|240||Y||40544|6|1||253.74|253.749|5.99|0.024177598|||||
False Alarm Penalty|Administration and Regulatory Affairs|Residential Panic After 3 Alarms|11-68(b)|371.62|360||Y||40544|6|1||380.61|380.6184|8.99|0.024191378|||||
False Alarm Penalty|Administration and Regulatory Affairs|Residential panic After 4 Alarms|11-68(b)|495.5|480||Y||40544|6|1||507.49|507.498|11.99|0.02419778|||||
Game Room (4 or less ARM)|Administration and Regulatory Affairs|Game Room - game room with less than 4 Amusement Redemption Machines|5-181|381.95|370|||||2|1||391.19|391.1985|9.24|0.024191648|||||
Game Room (5 or more ARM)|Administration and Regulatory Affairs|Game Room - game room with 5 or more Amusement Redemption Machines|5-181|464.53|450|||||2|1||475.77|475.7781|11.24|0.0241965|||||
Jitney  Inspection|Administration and Regulatory Affairs|Jitney Inspections, initial and annually|46-337(a)|51.61|50||Y||40544|3|1||52.85|52.8596|1.24|0.024026351|||||
Jitney Permit|Administration and Regulatory Affairs|Jitney Permit Application Processing Fee, for one or more permits|46-333(a)|103.23|100||Y||40544|1|1||105.72|105.7296|2.49|0.024120895|||||
Jitney Permit|Administration and Regulatory Affairs|Jitney Permit, Annual|46-336(a)|516.15|500||Y||40544|1|1||528.64|528.648|12.49|0.024198392|||||
Jitney Permit|Administration and Regulatory Affairs|Permit application amendment fee|46-341(a)|103.23|100||Y||40544|1|1||105.72|105.7296|2.49|0.024120895|||||
Jitney Permit|Administration and Regulatory Affairs|Rate or route filing fee, per jitney|46-340(b)|30.96|30||Y||40544|1|1||31.7|31.7096|0.74|0.023901809|||||
Jitney License|Administration and Regulatory Affairs|Jitney Driver License|46-333(a)|10.32|10||Y||40544|2|1||10.56|10.5698|0.24|0.023255814|||||
Limousine Inspection|Administration and Regulatory Affairs|Limousine Inspection (prorated)|46-236(a)|25.8|25||Y||40544|3|1||26.42|26.4247|0.62|0.024031008|||||
Limousine Inspection|Administration and Regulatory Affairs|Limousine Inspection Fee|46-236(a)|51.61|50||Y||40544|3|1||52.85|52.8596|1.24|0.024026351|||||
Limousine Permits|Administration and Regulatory Affairs|Limousine Permit|46-232(a)|516.15|500||Y||40544|1|1||528.64|528.648|12.49|0.024198392|||||
Limousine Permits|Administration and Regulatory Affairs|Limousine Permits (Installments)|46-232(a)|258.07|250||Y||40544|1|1||264.31|264.3189|6.24|0.024179486|||||
Limousine Permits|Administration and Regulatory Affairs|Prorated fee for less than one year (per month)|46-232(a)|51.61|50|||||1|1||52.85|52.8596|1.24|0.024026351|||||
Limousine Permits|Administration and Regulatory Affairs|Temporary Permit (30 day max per vehicle)|46-235(b)|103.23|100||Y||40544|1|1||105.72|105.7296|2.49|0.024120895|||||
Low Speed Shuttle|Administration and Regulatory Affairs|Amended application fee|46-402(a)|103.23|100||Y||40544|6|1||105.72|105.7296|2.49|0.024120895|||||
Low Speed Shuttle|Administration and Regulatory Affairs|Rate or zone amendment fee|46-400(b)|30.96|30||Y||40544|6|1||31.7|31.7096|0.74|0.023901809|||||
Low Speed Shuttle|Administration and Regulatory Affairs|Zone review application fee|46-400(b)|30.96|30||Y||40544|6|1||31.7|31.7096|0.74|0.023901809|||||
Low Speed Shuttle Inspection|Administration and Regulatory Affairs|Low Speed Shuttle Vehicle Inspection Fee|46-397(a)|51.61|50||Y||40544|3|1||52.85|52.8596|1.24|0.024026351|||||
Low Speed Shuttle License|Administration and Regulatory Affairs|Low Speed Shuttle Driver License|46-393(a)|10.32|10||Y||40544|2|1||10.56|10.5698|0.24|0.023255814|||||
Low Speed Shuttle Permit|Administration and Regulatory Affairs|Low Speed Shuttle Permit Application Processing Fee|46-393(b)|103.23|100||Y||40544|1|1||105.72|105.7296|2.49|0.024120895|||||
Low Speed Shuttle Permit|Administration and Regulatory Affairs|Low Speed Shuttle Vehicle Permit Fee, Annual|46-394(a)|516.15|500||Y||40544|1|1||528.64|528.648|12.49|0.024198392|||||
Lubbock Surface Lot|Administration and Regulatory Affairs|Management of municipal courts parking lot - Monday through Saturday, from 6:30 a.m. to 10:30 p.m. - All Day Flat Rate|02-508(1)|5|5||N|N|N/A|1|4||5|5|0|0|||||
Metal Recycler/SecondhandMetal Recycler|Administration and Regulatory Affairs|Metal Recycler - Scrapmetal, aluminum can, etc. recycling yards|7-57(a)|250|250|||||2|3||250|250|0|0|||||
Metal Recycler/SecondhandMetal Recycler|Administration and Regulatory Affairs|Metal recycler/secondhand metal recycler|07-57(a)|250|250|||||2|3||250|250|0|0|||||
Metal Recycler/SecondhandMetal Recycler/Secondhand Reseller Show|Administration and Regulatory Affairs|Show permit - per day|7-57(d)|10.32|10|||||2|1||10.56|10.5698|0.24|0.023255814|||||
Metered Parking Rev|Administration and Regulatory Affairs|Meter Revenue - Long term parking, MAXIMUM|26-160(2)|1.8|1.8|||||1|4||1.8|1.8|0|0|||||
Metered Parking Rev|Administration and Regulatory Affairs|Meter Revenue - Long term parking, MINIMUM|26-160(2)|0.3|0.3|||||1|4||0.3|0.3|0|0|||||
Metered Parking Rev|Administration and Regulatory Affairs|Meter Revenue - Short term parking, MAXIMUM|26-160(1)|1.8|1.8|||||1|4||1.8|1.8|0|0|||||
Metered Parking Rev|Administration and Regulatory Affairs|Meter Revenue - Short term parking, MINIMUM|26-160(1)|0.3|0.3|||||1|4||0.3|0.3|0|0|||||
Monthly Parking Permit|Administration and Regulatory Affairs|Monthly parking permit for Commerce surface lot|26-160(2)|45|45|||||1|4||45|45|0|0|||||
Monthly Parking Permit|Administration and Regulatory Affairs|Monthly parking permit for Pierce surface lots|26-160(2)|45|45|||||1|4||45|45|0|0|||||
Municipal Right-of-Way Fee-Certificated Telecom Provider|Administration and Regulatory Affairs|Cat. 1 Access Line Residential Per Month|Ch. 283, Local Government Code|1.75|1.72||N||41091|6|3||1.75|1.75|0|0|||||
Municipal Right-of-Way Fee-Certificated Telecom Provider|Administration and Regulatory Affairs|Cat. 2 Access Line Non-Residential Per Month|Ch. 283, Local Government Code|5.92|5.81||N||41091|6|3||5.92|5.92|0|0|||||
Municipal Right-of-Way Fee-Certificated Telecom Provider|Administration and Regulatory Affairs|Cat. 3 Access Line Point to Point Per Month|Ch. 283, Local Government Code|16.8|16.51||N||41091|6|3||16.8|16.8|0|0|||||
Newsracks Permit|Administration and Regulatory Affairs|Decal fee|40-453(e)|5.16|5|||||1|1||5.28|5.2849|0.12|0.023255814|||||
Newsracks Permit|Administration and Regulatory Affairs|Newsrack permit renewal|40-453(g)|$5.16/newsrack|$5.00/ newsrack|||||1|1||$5.28/newsrack|#VALUE!|0.16|0.032|||||
Newsracks Permit|Administration and Regulatory Affairs|Newsrack replacement decal|40-453(f)|1.03|1|||||1|1||1.05|1.0549|0.02|0.019417476|||||
Newsracks Permit|Administration and Regulatory Affairs|Permit application fee|40-453(e)|309.69|300|||||1|1||317.18|317.1888|7.49|0.024185476|||||
Noise and Sound Level Regulation Permit|Administration and Regulatory Affairs|Annual permit|30-9(a)(3)b|1032.3|1000|||||1|1||1057.29|1057.2961|24.99|0.024208079|||||
Noise and Sound Level Regulation Permit|Administration and Regulatory Affairs|Daily permit|30-9(a)(1)b|30.96|30|||||1|1||31.7|31.7096|0.74|0.023901809|||||
Noise and Sound Level Regulation Permit|Administration and Regulatory Affairs|Extended daily permit|30-9(a)(2)b|61.93|60|||||1|1||63.42|63.4295|1.49|0.024059422|||||
Non Consent Tow Rates|Administration and Regulatory Affairs|Off-year tow operator requested rate study|08-123(d)(2)|Director will determine cost at time of the request.|Director will determine cost at time of the request.||N|N|January 1 of years in which no rate adjustment is adopted|6|6||Director will determine cost at time of the request.|Director will determine cost at time of the request.|0|0|||||
Occupation License|Administration and Regulatory Affairs|Antique Dealers, Precious Metals Dealers, Resale Media & Clothing Dealers - Change of business address|07-24|2.06|2||Y||40544|2|1||2.1|2.1098|0.04|0.019417476|||||
Occupation License|Administration and Regulatory Affairs|Antique Dealers, Precious Metals Dealers, Resale Media & Clothing Dealers - License Fee|07-19(a)|103.23|100||Y||40544|2|1||105.72|105.7296|2.49|0.024120895|||||
Occupation License|Administration and Regulatory Affairs|Antique Dealers, Precious Metals Dealers, Resale Media & Clothing Dealers - Show Fee|07-19(b)|10.32|10||Y||40544|2|1||10.56|10.5698|0.24|0.023255814|||||
Occupation License|Administration and Regulatory Affairs|Common Market - 10 vendors or less|07-108(a)|77.42|75||Y||40544|2|1||79.29|79.2946|1.87|0.024153965|||||
Occupation License|Administration and Regulatory Affairs|Common Market - 11 to 20 vendors|07-108(a)|154.84|150||Y||40544|2|1||158.58|158.5892|3.74|0.024153965|||||
Occupation License|Administration and Regulatory Affairs|Common Market - 21 or more vendors|07-108(a)|206.46|200||Y||40544|2|1||211.45|211.4592|4.99|0.024169331|||||
Occupation License|Administration and Regulatory Affairs|Secondhand Reseller|07-57(b)|309.69|300||Y||40544|2|1||317.18|317.1888|7.49|0.024185476|||||
Occupation License|Administration and Regulatory Affairs|Secondhand Reseller Show License Fee|07-57(d)|10.32|10||Y||40544|2|1||10.56|10.5698|0.24|0.023255814|||||
Open Records Act Requests|Administration and Regulatory Affairs|Open Records Act request fee|Texas Public Information Act. Texas Government Code, Section 552.2615, Chapter 552 |Actual Cost|Actual Cost||N|||6|3||Actual Cost|Actual Cost|||||||
Other License & Permit|Administration and Regulatory Affairs|Carnival Amusement|05-29|103.23|100||Y||40544|1|1||105.72|105.7296|2.49|0.024120895|||||
Other License & Permit|Administration and Regulatory Affairs|Charitable Solicitation Class A|36-77|20.64|20||Y|||1|1||21.13|21.1397|0.49|0.02374031|||||
Other License & Permit|Administration and Regulatory Affairs|Charitable Solicitation Class B|36-77|20.64|20||Y|||1|1||21.13|21.1397|0.49|0.02374031|||||
Other License & Permit|Administration and Regulatory Affairs|Charitable Solicitation Registration Fee|36-77|20.64|20||Y||40544|1|1||21.13|21.1397|0.49|0.02374031|||||
Other License & Permit|Administration and Regulatory Affairs|Mini Warehouse|27-4|103.23|100||Y||40544|2|1||105.72|105.7296|2.49|0.024120895|||||
Parking Permit|Administration and Regulatory Affairs|Commercial vehicle loading zone meter fee, per hour, per space|26-230(b)|5|5||N|||1|4||5|5|0|0|||||
Parking Permit|Administration and Regulatory Affairs|Commercial vehicle loading zone permit replacement|26-230(a)|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
Parking Permit|Administration and Regulatory Affairs|Commercial vehicle loading zone permit, Class A|26-230(a)|1238.76|1200||Y||40544|1|1||1268.75|1268.7553|29.99|0.024209694|||||
Parking Permit|Administration and Regulatory Affairs|Commercial vehicle loading zone permit, Class B|26-230(a)|309.69|300||Y||40544|1|1||317.18|317.1888|7.49|0.024185476|||||
Parking Permit|Administration and Regulatory Affairs|Commercial vehicle loading zone permit, Class C|26-230(a)|154.84|150||Y||40544|1|1||158.58|158.5892|3.74|0.024153965|||||
Parking Permit|Administration and Regulatory Affairs|Commercial vehicle loading zone permit, Class D|26-230(a)|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
Pedicabs Inspection|Administration and Regulatory Affairs|Pedicab Vehicle Inspection Fee|46-161(a)|51.61|50||Y||40544|3|1||52.85|52.8596|1.24|0.024026351|||||
Pedicabs license|Administration and Regulatory Affairs|License|45-153(a)|10.32|10||Y||40544|2|1||10.56|10.5698|0.24|0.023255814|||||
Pedicabs Permit|Administration and Regulatory Affairs|Annual Pedicab Permit Fee, each pedicab|45-153(c)|206.46|200||Y||40544|1|1||211.45|211.4592|4.99|0.024169331|||||
Pedicabs Permit|Administration and Regulatory Affairs|Pedicab Permit Application Processing Fee|45-153(b)|103.23|100||Y||40544|1|1||105.72|105.7296|2.49|0.024120895|||||
Pedicabs Permit|Administration and Regulatory Affairs|Permit amendment application|45-156(a)|103.23|100||Y||40544|1|1||105.72|105.7296|2.49|0.024120895|||||
Rabies Control License|Administration and Regulatory Affairs|Breeders Permit|06-114|120|120||Y||40544|2|6||120|120|0|0|||||
Rabies Control License|Administration and Regulatory Affairs|Breeders Permit - Late Fee|06-114|30|30||Y||40544|2|6||30|30|0|0|||||
Rabies Control License|Administration and Regulatory Affairs|Certified assistance, hearing or seeing dogs, sterilized - Annual renewal|06-88(a)(4)|2|2||Y||40544|2|6||2|2|0|0|||||
Rabies Control License|Administration and Regulatory Affairs|Kennel License|06-121(a)|200|200||Y||40544|2|6||200|200|0|0|||||
Rabies Control License|Administration and Regulatory Affairs|Late processing fee |06-88(a)(5)|10|10||Y||40544|2|6||10|10|0|0|||||
Rabies Control License|Administration and Regulatory Affairs|Neutered - Annual Fee|06-88(a)(1)|20|20||Y||40544|2|6||20|20|0|0|||||
Rabies Control License|Administration and Regulatory Affairs|Replacement License Tag|06-93|2|2||Y||40544|2|6||2|2|0|0|||||
Rabies Control License|Administration and Regulatory Affairs|Senior citizens with neutered pet license, annual renewal|06-88(a)(3)|2|2||Y||40544|2|6||2|2|0|0|||||
Rabies Control License|Administration and Regulatory Affairs|Senior citizens with neutered pet license, initial|06-88(a)(3)|5|5||Y||40544|2|6||5|5|0|0|||||
Rabies Control License|Administration and Regulatory Affairs|Unneutered|06-88(a)(2)|60|60||Y||40544|2|6||60|60|0|0|||||
Resident Parking Permit|Administration and Regulatory Affairs|Annual Resident or Visitor Permit|26-345(a)|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
Resident Parking Permit|Administration and Regulatory Affairs|One Day Visitor Permit - single|26-345(c)|1.03|1||Y||40544|1|1||1.05|1.0549|0.02|0.019417476|||||
Resident Parking Permit|Administration and Regulatory Affairs|Request for designation of RPP area|26-312(a)|51.61|50||Y||40544|1|1||52.85|52.8596|1.24|0.024026351|||||
Resident Parking Permit|Administration and Regulatory Affairs|Service Provider|26-345(a)|25.8|25||Y||40544|1|1||26.42|26.4247|0.62|0.024031008|||||
School Vehicles License|Administration and Regulatory Affairs|Operator license amendment fee|46-291(b)|10.32|10||Y||40544|2|1||10.56|10.5698|0.24|0.023255814|||||
School Vehicles License|Administration and Regulatory Affairs|Operator license application fee|46-287|103.23|100||Y||40544|2|1||105.72|105.7296|2.49|0.024120895|||||
School Vehicles Permit|Administration and Regulatory Affairs|Annual license fee - School Vehicles (<16 passengers) (Annual Permit Fee)|46-289(b)|206.46|200||Y||40544|1|1||211.45|211.4592|4.99|0.024169331|||||
School Vehicles Permit|Administration and Regulatory Affairs|Annual license fee - School Vehicles (>59 passengers) (annual permit fee)|46-289(b)|118.71|115||Y||40544|1|1||121.58|121.5844|2.87|0.024176565|||||
School Vehicles Permit|Administration and Regulatory Affairs|Annual license fee - School Vehicles (16-59 passengers) (annual permit fee)|46-289(b)|92.9|90||Y||40544|1|1||95.14|95.1494|2.24|0.024111948|||||
Sexually Oriented Businesses|Administration and Regulatory Affairs|Transfer amendment application fee|28-95(b)|516.15|500||Y||40544|6|1||528.64|528.648|12.49|0.024198392|||||
Sexually Oriented Businesses Inspection|Administration and Regulatory Affairs|Reinspection Fee adult arcade|28-93(c)|103.23|100||Y||40544|3|1||105.72|105.7296|2.49|0.024120895|||||
Sexually Oriented Businesses Inspection|Administration and Regulatory Affairs|Reinspection Fee adult arcade, specially scheduled outside regular working hours|28-93(c)|30.96|30||Y||40544|3|1||31.7|31.7096|0.74|0.023901809|||||
Sexually Oriented Businesses Permit|Administration and Regulatory Affairs|Entertainer & Managers - New|28-254(b)|258.07|250||Y||40544|1|1||264.31|264.3189|6.24|0.024179486|||||
Sexually Oriented Businesses Permit|Administration and Regulatory Affairs|Entertainer & Managers - Replacement|28-254(g)|36.13|35||Y||40544|1|1||37|37.0048|0.87|0.024079712|||||
Sexually Oriented Businesses Permit|Administration and Regulatory Affairs|Non refundable arcade|28-92(e)|2064.6|2000||Y||40544|1|1||2114.59|2114.5922|49.99|0.024212923|||||
Sexually Oriented Businesses Permit|Administration and Regulatory Affairs|Permit transfer (nonrefundable)|28-126(b)|516.15|500||Y||40544|1|1||528.64|528.648|12.49|0.024198392|||||
