Name/Type,Responsible Department,Permit/Fee Name and Description,Statutory Authority ," Fees As of Dec. 31, 2012 ","Fees As of
June 30, 2011","Fees As of April 1, 2012",Notes,Sec. 1-13 Increase Applies?,Sec. 1-14 Admin Fee Applies?,Increase Date,6 Dept. Assignment,"7 Dept. Assignment
",DECIMAL NOTES for PWE,"Fee As Jan 1, 2013",CPI increase 1.024214%in format #.####,Variance,% change,1.024214,PWE SEQUENCE Request,NOTE,Sequence Key,Change
False Alarm Penalty,Administration and Regulatory Affairs,False alarm response collection fee,11-68(l), Varies ,Varies,,Collection fee = 30 percent of the false alarm penalty amount ,N,,N/A,6,6,,Varies,Varies,$0.00,0.00%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Non-Permitted Alarm System Non-Residential Panic or Burglar,11-68(d)(4), 433.56 ,$420.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,1,,$444.05,444.0582,$10.49,2.42%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Non-permitted Non-residential Burglar Alarm System,11-68(d)(2), 206.46 ,$200.00,,,Y,,1-Jan,6,1,,$211.45,211.4592,$4.99,2.42%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Non-permitted Residential Burglar Alarm System,11-68(d)(1), 103.23 ,$100.00,,,Y,,1-Jan,6,1,,$105.72,105.7296,$2.49,2.41%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Non-Residential Panic (After 1 Free),11-68(c) , 247.75 ,$240.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,1,,$253.74,253.7490,$5.99,2.42%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Non-Residential Panic (After 2 False Alarms),11-68(c) , 495.50 ,$480.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,1,,$507.49,507.4980,$11.99,2.42%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Non-Residential Panic (After 3 False Alarms),11-68(c) , 619.38 ,$600.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,1,,$634.37,634.3776,$14.99,2.42%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Residential Non-Permitted Panic,11-68(d)(3), 272.52 ,$264.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,1,,$279.11,279.1187,$6.59,2.42%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Residential Panic After 1 False Alarm,11-68(b), 123.87 ,$120.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,1,,$126.86,126.8693,$2.99,2.41%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Residential Panic After 2 Alarms,11-68(b), 247.75 ,$240.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,1,,$253.74,253.7490,$5.99,2.42%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Residential Panic After 3 Alarms,11-68(b), 371.62 ,$360.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,1,,$380.61,380.6184,$8.99,2.42%,,,,,
False Alarm Penalty,Administration and Regulatory Affairs,Residential panic After 4 Alarms,11-68(b), 495.50 ,$480.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,6,1,,$507.49,507.4980,$11.99,2.42%,,,,,
Game Room (4 or less ARM),Administration and Regulatory Affairs,Game Room - game room with less than 4 Amusement Redemption Machines,5-181, 381.95 , $370.00 ,,"Changed by ordinance 2011-779, effective Sept. 2011",,,,2,1,,$391.19,391.1985,$9.24,2.42%,,,,,
Game Room (5 or more ARM),Administration and Regulatory Affairs,Game Room - game room with 5 or more Amusement Redemption Machines,5-181, 464.53 , $450.00 ,,"Changed by ordinance 2011-779, effective Sept. 2011",,,,2,1,,$475.77,475.7781,$11.24,2.42%,,,,,
Jitney  Inspection,Administration and Regulatory Affairs,"Jitney Inspections, initial and annually",46-337(a), 51.61 ,$50.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,3,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Jitney Permit,Administration and Regulatory Affairs,"Jitney Permit Application Processing Fee, for one or more permits",46-333(a), 103.23 ,$100.00,,,Y,,1-Jan,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Jitney Permit,Administration and Regulatory Affairs,"Jitney Permit, Annual",46-336(a), 516.15 ,$500.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$528.64,528.6480,$12.49,2.42%,,,,,
Jitney Permit,Administration and Regulatory Affairs,Permit application amendment fee,46-341(a), 103.23 ,$100.00,,,Y,,1-Jan,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Jitney Permit,Administration and Regulatory Affairs,"Rate or route filing fee, per jitney",46-340(b), 30.96 ,$30.00,,,Y,,1-Jan,1,1,,$31.70,31.7096,$0.74,2.39%,,,,,
Jitney License,Administration and Regulatory Affairs,Jitney Driver License,46-333(a), 10.32 ,$10.00,,,Y,,1-Jan,2,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Limousine Inspection,Administration and Regulatory Affairs,Limousine Inspection (prorated),46-236(a), 25.80 ,$25.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,3,1,,$26.42,26.4247,$0.62,2.40%,,,,,
Limousine Inspection,Administration and Regulatory Affairs,Limousine Inspection Fee,46-236(a), 51.61 ,$50.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,3,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Limousine Permits,Administration and Regulatory Affairs,Limousine Permit,46-232(a), 516.15 ,$500.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$528.64,528.6480,$12.49,2.42%,,,,,
Limousine Permits,Administration and Regulatory Affairs,Limousine Permits (Installments),46-232(a), 258.07 ,$250.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$264.31,264.3189,$6.24,2.42%,,,,,
Limousine Permits,Administration and Regulatory Affairs,Prorated fee for less than one year (per month),46-232(a), 51.61 ,$50.00,,sec 46-232,,,,1,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Limousine Permits,Administration and Regulatory Affairs,Temporary Permit (30 day max per vehicle),46-235(b), 103.23 ,$100.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Low Speed Shuttle,Administration and Regulatory Affairs,Amended application fee,46-402(a), 103.23 ,$100.00,,,Y,,1-Jan,6,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Low Speed Shuttle,Administration and Regulatory Affairs,Rate or zone amendment fee,46-400(b), 30.96 ,$30.00,,,Y,,1-Jan,6,1,,$31.70,31.7096,$0.74,2.39%,,,,,
Low Speed Shuttle,Administration and Regulatory Affairs,Zone review application fee,46-400(b), 30.96 ,$30.00,,,Y,,1-Jan,6,1,,$31.70,31.7096,$0.74,2.39%,,,,,
Low Speed Shuttle Inspection,Administration and Regulatory Affairs,Low Speed Shuttle Vehicle Inspection Fee,46-397(a), 51.61 ,$50.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,3,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Low Speed Shuttle License,Administration and Regulatory Affairs,Low Speed Shuttle Driver License,46-393(a), 10.32 ,$10.00,,,Y,,1-Jan,2,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Low Speed Shuttle Permit,Administration and Regulatory Affairs,Low Speed Shuttle Permit Application Processing Fee,46-393(b), 103.23 ,$100.00,,,Y,,1-Jan,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Low Speed Shuttle Permit,Administration and Regulatory Affairs,"Low Speed Shuttle Vehicle Permit Fee, Annual",46-394(a), 516.15 ,$500.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,1-Jan,1,1,,$528.64,528.6480,$12.49,2.42%,,,,,
Lubbock Surface Lot,Administration and Regulatory Affairs,"Management of municipal courts parking lot - Monday through Saturday, from 6:30 a.m. to 10:30 p.m. - All Day Flat Rate",02-508(1), 5.00 ,$5.00,,"Fee to park in the surface lot at Municipal Courts, 1400 Lubbock.",N,N,N/A,1,4,,$5.00,5.0000,$0.00,0.00%,,,,,
Metal Recycler/SecondhandMetal Recycler,Administration and Regulatory Affairs,"Metal Recycler - Scrapmetal, aluminum can, etc. recycling yards",7-57(a), 250.00 , $250.00 ,,Capped by State Law,,,,2,3,,$250.00,250.0000,$0.00,0.00%,,,,,
Metal Recycler/SecondhandMetal Recycler,Administration and Regulatory Affairs,Metal recycler/secondhand metal recycler,07-57(a), 250.00 ,$250.00,,"Capped by State law
There may be some flexibility in the state law to increase the fee.  City Attorney's Office is currently reviewing - it must be approved and then submitted to the DPS.",,,,2,3,,$250.00,250.0000,$0.00,0.00%,,,,,
Metal Recycler/SecondhandMetal Recycler/Secondhand Reseller Show,Administration and Regulatory Affairs,Show permit - per day,7-57(d), 10.32 ,$10.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",,,,2,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Metered Parking Rev,Administration and Regulatory Affairs,"Meter Revenue - Long term parking, MAXIMUM",26-160(2), 1.80 ,$1.80,,Long-Term Parking (over four hours) Fees - Maximum Cost Per Hour.,,,,1,4,,$1.80,1.8000,$0.00,0.00%,,,,,
Metered Parking Rev,Administration and Regulatory Affairs,"Meter Revenue - Long term parking, MINIMUM",26-160(2), 0.30 ,$0.30,,Long-Term Parking (Over four hours) Fees - Minimum Cost per Hour,,,,1,4,,$0.30,0.3000,$0.00,0.00%,,,,,
Metered Parking Rev,Administration and Regulatory Affairs,"Meter Revenue - Short term parking, MAXIMUM",26-160(1), 1.80 ,$1.80,,Short-Term (Not to exceed 4 hours) Parking Fees - Maximum Cost per 10 minutes,,,,1,4,,$1.80,1.8000,$0.00,0.00%,,,,,
Metered Parking Rev,Administration and Regulatory Affairs,"Meter Revenue - Short term parking, MINIMUM",26-160(1), 0.30 ,$0.30,,Short-Term Parking (Not to exceed 4 hours) Fees - Minimum Cost per 10 minutes,,,,1,4,,$0.30,0.3000,$0.00,0.00%,,,,,
Monthly Parking Permit,Administration and Regulatory Affairs,Monthly parking permit for Commerce surface lot,26-160(2), 45.00 ,$45.00,,Monthly Permits for long-term parking at the Commerce surface lot.,,,,1,4,,$45.00,45.0000,$0.00,0.00%,,,,,
Monthly Parking Permit,Administration and Regulatory Affairs,Monthly parking permit for Pierce surface lots,26-160(2), 45.00 ,$45.00,,Monthly Permits for long-term parking at the Pierce surface lots.,,,,1,4,,$45.00,45.0000,$0.00,0.00%,,,,,
Municipal Right-of-Way Fee-Certificated Telecom Provider,Administration and Regulatory Affairs,Cat. 1 Access Line Residential Per Month,"Ch. 283, Local Government Code", 1.75 ,1.72,,"Set by the PUCT, revised every July 1.",N,,07/01/12,6,3,,$1.75,1.7500,$0.00,0.00%,,,,,
Municipal Right-of-Way Fee-Certificated Telecom Provider,Administration and Regulatory Affairs,Cat. 2 Access Line Non-Residential Per Month,"Ch. 283, Local Government Code", 5.92 ,5.81,,"Set by the PUCT, revised every July 1.",N,,07/01/12,6,3,,$5.92,5.9200,$0.00,0.00%,,,,,
Municipal Right-of-Way Fee-Certificated Telecom Provider,Administration and Regulatory Affairs,Cat. 3 Access Line Point to Point Per Month,"Ch. 283, Local Government Code", 16.80 ,16.51,,"Set by the PUCT, revised every July 1.",N,,07/01/12,6,3,,$16.80,16.8000,$0.00,0.00%,,,,,
Newsracks Permit,Administration and Regulatory Affairs,Decal fee,40-453(e), 5.16 ,$5.00,,,,,,1,1,,$5.28,5.2849,$0.12,2.33%,,,,,
Newsracks Permit,Administration and Regulatory Affairs,Newsrack permit renewal,40-453(g), $5.16/newsrack ,$5.00/ newsrack,,,,,,1,1,,$5.28/newsrack,#VALUE!,$0.16,3.20%,,,,,
Newsracks Permit,Administration and Regulatory Affairs,Newsrack replacement decal,40-453(f), 1.03 ,$1.00,,,,,,1,1,,$1.05,1.0549,$0.02,1.94%,,,,,
Newsracks Permit,Administration and Regulatory Affairs,Permit application fee,40-453(e), 309.69 ,$300.00,,,,,,1,1,,$317.18,317.1888,$7.49,2.42%,,,,,
Noise and Sound Level Regulation Permit,Administration and Regulatory Affairs,Annual permit,30-9(a)(3)b," 1,032.30 ","$1,000.00",,"Ord. No. 2011-874, effective 10-12-2011",,,,1,1,,"$1,057.29","1,057.2961",$24.99,2.42%,,,,,
Noise and Sound Level Regulation Permit,Administration and Regulatory Affairs,Daily permit,30-9(a)(1)b, 30.96 ,$30.00,,"Ord. No. 2011-874, effective 10-12-2011",,,,1,1,,$31.70,31.7096,$0.74,2.39%,,,,,
Noise and Sound Level Regulation Permit,Administration and Regulatory Affairs,Extended daily permit,30-9(a)(2)b, 61.93 ,$60.00,,"Ord. No. 2011-874, effective 10-12-2011",,,,1,1,,$63.42,63.4295,$1.49,2.41%,,,,,
